name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus
Dinorwig,1728.0,Pumped Storage Hydroelectric,0,5.266,0.865,0.865,9099.648,Z8
Ffestiniog,360.0,Pumped Storage Hydroelectric,0,3.889,0.85,0.85,1400.04,Z8
Cruachan,440.0,Pumped Storage Hydroelectric,0,16.136,0.865,0.865,7099.839999999999,Z3
Foyers,300.0,Pumped Storage Hydroelectric,0,21.0,0.865,0.865,6300.0,Z2
Aikengall II Community Wind Farm Battery,80.0,Battery,0,1.3,0.95,0.95,104.0,Z6
Anchor Lane Energy Centre,4.0,Battery,0,1.3,0.95,0.95,5.2,Z9
Asfordby Business Park (1),23.4,Battery,0,1.3,0.95,0.95,30.42,Z10
Berry Court Solar Farm - energy storage,1.0,Battery,0,1.3,0.95,0.95,1.3,Z12
Blackburn Meadows ,10.0,Battery,0,1.3,0.95,0.95,13.0,Z7
Bloxwich Battery,41.0,Battery,0,1.3,0.95,0.95,53.3,Z9
Boscar Grange Farm,27.0,Battery,0,1.3,0.95,0.95,35.1,Z7
Broxburn ,20.0,Battery,0,1.3,0.95,0.95,26.0,Z5
Bumpers Lane Solar Farm ,13.3,Battery,0,1.3,0.95,0.95,17.290000000000003,Z10
Burbo Bank Energy Storage,2.0,Battery,0,1.3,0.95,0.95,2.6,Z7
Burwell - Battery Storage,50.0,Battery,0,1.3,0.95,0.95,65.0,Z10
Calow Green Farm,20.0,Battery,0,1.3,0.95,0.95,26.0,Z9
Cirencester Solar Farm,10.0,Battery,0,1.3,0.95,0.95,13.0,Z10
Claredown Farm,20.0,Battery,0,1.3,0.95,0.95,26.0,Z10
Clayhill,6.0,Battery,0,1.3,0.95,0.95,7.800000000000001,Z10
Clayhill Farm -  Battery Energy Storage,21.0,Battery,0,1.3,0.95,0.95,27.3,Z10
Cleator,10.0,Battery,0,1.3,0.95,0.95,13.0,Z6
Cleveland Potash,6.0,Battery,0,1.3,0.95,0.95,7.800000000000001,Z6
Clifton Marsh Waste Water Treatment Works,2.0,Battery,0,1.3,0.95,0.95,2.6,Z6
Creyke Beck,49.9,Battery,0,1.3,0.95,0.95,64.87,Z7
Dorking Battery Energy Storage System,6.0,Battery,0,1.3,0.95,0.95,7.800000000000001,Z10
Dundee Technology Park,49.9,Battery,0,1.3,0.95,0.95,64.87,Z3
EPSRC Willenhall,2.0,Battery,0,1.3,0.95,0.95,2.6,Z9
Falcon Project,0.3,Battery,0,1.3,0.95,0.95,0.39,Z10
Fideoak Mills,30.0,Battery,0,1.3,0.95,0.95,39.0,Z12
Hawkers Hill Energy Park,20.0,Battery,0,1.3,0.95,0.95,26.0,Z12
Higher Hill Farm Energy Storage,0.3,Battery,0,1.3,0.95,0.95,0.39,Z12
Hill Farm - Energy Barn,10.0,Battery,0,1.3,0.95,0.95,13.0,Z9
Huggin's Hall,40.0,Battery,0,1.3,0.95,0.95,52.0,Z12
Hywind 2,1.0,Battery,0,1.3,0.95,0.95,1.3,Z2
Isle of Eigg Electrification Project ,0.1,Battery,0,1.3,0.95,0.95,0.13,Z2
Kings Barn Farm - Energy Barn,10.0,Battery,0,1.3,0.95,0.95,13.0,Z12
