,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Wilton International,Natural Gas,Conventional steam,120,Z6,0,0,0,0
Sizewell B,Nuclear,PWR,829.7756896,Z11,5,0.015,0.015,0.73
Severn Power Ltd CCS Gas,CCS Gas,CCS Gas,0,Z10,100,1,1,1
Seabank Power Ltd CCS Gas,CCS Gas,CCS Gas,0,Z12,100,1,1,1
Saltend Power Station CCS Gas,CCS Gas,CCS Gas,0,Z7,100,1,1,1
EP SHB LTD CCS Gas,CCS Gas,CCS Gas,0,Z7,100,1,1,1
EP Langage Ltd CCS Gas,CCS Gas,CCS Gas,0,Z12,100,1,1,1
Corby Power Station CCS Gas,CCS Gas,CCS Gas,0,Z10,100,1,1,1
Carrington Power CCS Gas,CCS Gas,CCS Gas,0,Z7,100,1,1,1
Rocksavage Power Company Ltd CCS Gas,CCS Gas,CCS Gas,0,Z7,100,1,1,1
Coryton Energy Company Ltd CCS Gas,CCS Gas,CCS Gas,0,Z10,100,1,1,1
Spalding Energy Company Ltd CCS Gas,CCS Gas,CCS Gas,0,Z9,100,1,1,1
Spalding Expansion OCGT CCS Gas,CCS Gas,CCS Gas,0,Z9,100,1,1,1
Marchwood Power CCS Gas,CCS Gas,CCS Gas,0,Z12,100,1,1,1
Fellside CHP CCS Gas,CCS Gas,CCS Gas,0,Z6,100,1,1,1
Little Barford CCS Gas,CCS Gas,CCS Gas,0,Z10,100,1,1,1
Kings Lynn CCS Gas,CCS Gas,CCS Gas,0,Z10,100,1,1,1
Didcot B CCS Gas,CCS Gas,CCS Gas,0,Z10,100,1,1,1
Great Yarmouth CCS Gas,CCS Gas,CCS Gas,0,Z11,100,1,1,1
Staythorpe CCS Gas,CCS Gas,CCS Gas,0,Z9,100,1,1,1
Pembroke CCS Gas,CCS Gas,CCS Gas,0,Z10,100,1,1,1
Peterhead CCS Gas,CCS Gas,CCS Gas,0,Z2,100,1,1,1
Keadby CCS Gas,CCS Gas,CCS Gas,0,Z7,100,1,1,1
Medway CCS Gas,CCS Gas,CCS Gas,0,Z10,100,1,1,1
Keadby 2 CCS Gas,CCS Gas,CCS Gas,0,Z7,100,1,1,1
West Burton CCGT CCS Gas,CCS Gas,CCS Gas,0,Z9,100,1,1,1
Connahs Quay CCS Gas,CCS Gas,CCS Gas,0,Z7,100,1,1,1
