name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus
Dinorwig,3283.2,Pumped Storage Hydroelectric,0,9.094382,0.865,0.865,29858.67498,Z8
Ffestiniog,684,Pumped Storage Hydroelectric,0,6.716303,0.85,0.85,4593.951252,Z8
Cruachan,836,Pumped Storage Hydroelectric,0,27.866872,0.865,0.865,23296.70499,Z3
Foyers,570,Pumped Storage Hydroelectric,0,36.267,0.865,0.865,20672.19,Z2
Aikengall II Community Wind Farm Battery,1117.019745,Battery,0,1.8,0.95,0.95,2010.63554,Z6
Anchor Lane Energy Centre,66.30098722,Battery,0,1.8,0.95,0.95,119.341777,Z9
Asfordby Business Park (1),334.5107753,Battery,0,1.8,0.95,0.95,602.1193955,Z10
Berry Court Solar Farm - energy storage,24.82524681,Battery,0,1.8,0.95,0.95,44.68544426,Z12
Blackburn Meadows ,149.2524681,Battery,0,1.8,0.95,0.95,268.6544426,Z7
Bloxwich Battery,577.8351191,Battery,0,1.8,0.95,0.95,1040.103214,Z9
Boscar Grange Farm,384.2816638,Battery,0,1.8,0.95,0.95,691.7069949,Z7
Broxburn ,1042.787419,Battery,0,1.8,0.95,0.95,1877.017355,Z5
Bumpers Lane Solar Farm ,194.8757826,Battery,0,1.8,0.95,0.95,350.7764086,Z10
Burbo Bank Energy Storage,38.65049361,Battery,0,1.8,0.95,0.95,69.5708885,Z7
Burwell - Battery Storage,702.2623404,Battery,0,1.8,0.95,0.95,1264.072213,Z10
Calow Green Farm,287.5049361,Battery,0,1.8,0.95,0.95,517.508885,Z9
Cirencester Solar Farm,149.2524681,Battery,0,1.8,0.95,0.95,268.6544426,Z10
Claredown Farm,287.5049361,Battery,0,1.8,0.95,0.95,517.508885,Z10
Clayhill,93.95148085,Battery,0,1.8,0.95,0.95,169.1126655,Z10
Clayhill Farm -  Battery Energy Storage,301.330183,Battery,0,1.8,0.95,0.95,542.3943294,Z10
Cleator,149.2524681,Battery,0,1.8,0.95,0.95,268.6544426,Z6
Cleveland Potash,93.95148085,Battery,0,1.8,0.95,0.95,169.1126655,Z6
Clifton Marsh Waste Water Treatment Works,38.65049361,Battery,0,1.8,0.95,0.95,69.5708885,Z6
Creyke Beck,700.8798156,Battery,0,1.8,0.95,0.95,1261.583668,Z7
