name,Elec link,EastWest,IFA,IFA2,Moyle,BritNed,Nemo,NSL,Viking Link
01/01/2023 0:00,0.998,0,0.301,0.904,0,0,0.252,0.155714286,0
01/01/2023 0:30,0.998,0,0.299,0.904,0,0,0.252,0.121428571,0
01/01/2023 1:00,0.998,0,0.257,0.986,0,0,0.254,0,0
01/01/2023 1:30,1,0,0.257,0.988,0,0,0.254,0,0
01/01/2023 2:00,0.998,0,0.302,0.9,0,0,0.252,0,0
01/01/2023 2:30,0.998,0,0.305,0.896,0,0,0.252,0,0
01/01/2023 3:00,0.994,0,0.305,0.896,0,0,0.252,0,0
01/01/2023 3:30,0.994,0,0.305,0.896,0,0,0.252,0,0
01/01/2023 4:00,0.93,0,0.282,0.806,0,0,0.252,0,0
01/01/2023 4:30,0.93,0,0.288,0.806,0,0,0.24,0,0
01/01/2023 5:00,0.966,0,0.464,0.896,0,0,0,0,0
01/01/2023 5:30,0.968,0,0.473,0.902,0,0,0,0,0
01/01/2023 6:00,0.996,0,0.5,0.982,0,0,0,0,0
01/01/2023 6:30,0.998,0,0.501,0.986,0,0,0,0,0
01/01/2023 7:00,0.998,0,0.504,0.99,0,0,0,0,0
01/01/2023 7:30,0.998,0,0.503,0.992,0,0,0,0,0
01/01/2023 8:00,0.998,0,0.5,0.992,0,0,0,0,0
01/01/2023 8:30,0.998,0,0.5,0.992,0,0,0,0,0
01/01/2023 9:00,0.998,0,0.503,0.992,0,0.158,0.072,0,0
01/01/2023 9:30,0.998,0,0.503,0.992,0,0.166,0.082,0,0
01/01/2023 10:00,0.998,0,0.502,0.992,0,0.964,0.964,0.208571429,0
01/01/2023 10:30,0.998,0,0.502,0.992,0,1,1,0.262857143,0
01/01/2023 11:00,0.998,0,0.502,0.992,0,1,1,0.53,0
01/01/2023 11:30,0.998,0,0.502,0.992,0,1,1,0.562857143,0
01/01/2023 12:00,0.998,0,0.502,0.992,0,1,1,0.76,0
01/01/2023 12:30,0.998,0,0.502,0.992,0,1,1,0.782857143,0
01/01/2023 13:00,0.998,0,0.502,0.992,0,1,1,0.782857143,0
01/01/2023 13:30,0.998,0,0.503,0.992,0,1,1,0.782857143,0
01/01/2023 14:00,0.998,0,0.503,0.992,0,1,1,0.782857143,0
01/01/2023 14:30,0.998,0,0.503,0.992,0,1,1,0.782857143,0
01/01/2023 15:00,0.998,0,0.503,0.992,0,1,1,0.782857143,0
01/01/2023 15:30,0.998,0,0.503,0.992,0,1,1,0.782857143,0
01/01/2023 16:00,0.998,0,0.503,0.992,0,1,1,0.782857143,0
01/01/2023 16:30,0.998,0,0.503,0.992,0,1,1,0.782857143,0
01/01/2023 17:00,0.998,0,0.503,0.992,0,0.87,1,0.782857143,0
01/01/2023 17:30,0.998,0,0.503,0.992,0,0.874,1,0.782857143,0
01/01/2023 18:00,0.998,0,0.503,0.992,0,0.998,1,0.782857143,0
01/01/2023 18:30,1,0,0.503,0.992,0,0.998,1,0.782857143,0
01/01/2023 19:00,0.998,0,0.503,0.992,0,1,1,0.782857143,0
01/01/2023 19:30,0.998,0,0.503,0.992,0,1,1,0.782857143,0
01/01/2023 20:00,1,0,0.503,0.992,0,0.998,1,0.782857143,0
01/01/2023 20:30,0.998,0,0.503,0.992,0,0.998,1,0.782857143,0
01/01/2023 21:00,0.998,0,0.503,0.992,0,1,1,0.782857143,0
01/01/2023 21:30,0.998,0,0.503,0.992,0,1,1,0.782857143,0
01/01/2023 22:00,0.998,0.048,0.503,0.992,0.04,1,1,0.782857143,0
01/01/2023 22:30,0.998,0,0.503,0.992,0.02,1,1,0.791428571,0
01/01/2023 23:00,1,0,0.503,0.992,0,1,1,0.888571429,0
01/01/2023 23:30,1,0,0.503,0.992,0,1,1,0.898571429,0
02/01/2023 0:00,0.998,0,0.503,0.992,0,1,1,0.898571429,0
02/01/2023 0:30,0.998,0,0.503,0.992,0,1,1,0.898571429,0
02/01/2023 1:00,1,0,0.503,0.992,0.036,1,1,0.898571429,0
02/01/2023 1:30,0.998,0,0.503,0.992,0,1,1,0.898571429,0
02/01/2023 2:00,0.998,0,0.503,0.992,0,1,1,0.898571429,0
02/01/2023 2:30,0.998,0,0.503,0.992,0,1,1,0.9,0
02/01/2023 3:00,0.998,0,0.503,0.992,0,1,1,0.975714286,0
02/01/2023 3:30,0.998,0,0.503,0.992,0,1,1,0.977142857,0
02/01/2023 4:00,0.998,0,0.496,0.97,0,1,0.962,0.748571429,0
02/01/2023 4:30,0.998,0,0.488,0.95,0,0.964,0.96,0.702857143,0
02/01/2023 5:00,1,0,0.268,0.542,0,0.558,0.834,0.507142857,0
02/01/2023 5:30,1,0,0.26,0.524,0,0.558,0.834,0.482857143,0
02/01/2023 6:00,1,0,0.175,0.332,0,0.48,0.66,0.332857143,0
02/01/2023 6:30,1,0,0.168,0.318,0,0.48,0.66,0.291428571,0
02/01/2023 7:00,0.982,0,0.079,0.23,0,0.844,0.886,0.024285714,0
02/01/2023 7:30,0.982,0,0.073,0.226,0,0.858,0.886,0.022857143,0
02/01/2023 8:00,0.986,0,0.033,0.268,0,0.56,0.636,0.284285714,0
02/01/2023 8:30,0.986,0,0.032,0.27,0,0.56,0.634,0.317142857,0
02/01/2023 9:00,1,0,0.071,0.4,0,0.966,0.666,0.604285714,0
02/01/2023 9:30,1,0,0.079,0.422,0,1,0.67,0.652857143,0
02/01/2023 10:00,1,0,0.242,0.776,0,1,0.994,0.878571429,0
02/01/2023 10:30,1,0,0.252,0.782,0,1,0.99,0.907142857,0
02/01/2023 11:00,1,0,0.337,0.528,0,0.852,0.532,0.975714286,0
02/01/2023 11:30,1,0,0.338,0.526,0,0.856,0.532,0.981428571,0
02/01/2023 12:00,1,0,0.27,0.76,0,1,0.99,0.974285714,0
02/01/2023 12:30,1,0,0.266,0.76,0,1,0.998,0.974285714,0
02/01/2023 13:00,1,0,0.232,0.498,0,0.888,0.76,0.981428571,0
02/01/2023 13:30,1,0,0.237,0.5,0,0.888,0.758,0.982857143,0
02/01/2023 14:00,1,0,0.399,0.806,0,0.826,0.76,0.98,0
02/01/2023 14:30,1,0,0.395,0.812,0,0.824,0.762,0.96,0
02/01/2023 15:00,1,0,0.145,0.586,0,0.884,0.962,0.751428571,0
02/01/2023 15:30,1,0,0.149,0.592,0,0.872,0.964,0.751428571,0
02/01/2023 16:00,0.998,0.14,0.489,0.972,0.144,0.67,1,0.961428571,0
02/01/2023 16:30,0.998,0.436,0.503,0.99,0.444,0.676,1,0.982857143,0
02/01/2023 17:00,1,0.628,0.503,0.992,0.728,0.998,1,0.982857143,0
02/01/2023 17:30,0.998,0.864,0.503,0.992,0.8,1,1,0.982857143,0
02/01/2023 18:00,0.998,0.848,0.503,0.992,0.8,1,1,0.981428571,0
02/01/2023 18:30,0.998,0.564,0.503,0.992,0.696,1,1,0.975714286,0
02/01/2023 19:00,0.998,0.628,0.503,0.992,0.704,1,1,0.905714286,0
02/01/2023 19:30,0.998,0.596,0.503,0.992,0.716,1,1,0.898571429,0
02/01/2023 20:00,1,0.396,0.503,0.992,0.72,1,1,0.898571429,0
02/01/2023 20:30,1,0.512,0.503,0.992,0.524,1,1,0.898571429,0
02/01/2023 21:00,1,0.748,0.503,0.992,0.736,1,1,0.898571429,0
02/01/2023 21:30,0.996,0.564,0.502,0.992,0.8,1,1,0.898571429,0
02/01/2023 22:00,0.952,0.668,0.503,0.992,0.796,0.972,0.97,0.898571429,0
02/01/2023 22:30,0.95,0.892,0.497,0.984,0.8,0.966,0.968,0.898571429,0
02/01/2023 23:00,0.996,1,0.302,0.81,0.8,0.616,0.822,0.898571429,0
02/01/2023 23:30,0.998,1,0.296,0.8,0.8,0.612,0.822,0.898571429,0
03/01/2023 0:00,0.998,1,0.328,0.77,0.8,0.646,0.754,0.898571429,0
03/01/2023 0:30,0.998,1,0.329,0.768,0.8,0.648,0.754,0.891428571,0
03/01/2023 1:00,0.998,0.984,0.286,0.662,0.8,0.584,0.724,0.661428571,0
03/01/2023 1:30,0.992,0.74,0.283,0.654,0.8,0.584,0.722,0.612857143,0
03/01/2023 2:00,0.848,0.532,0.227,0.602,0.8,0.536,0.628,0.345714286,0
03/01/2023 2:30,0.826,0.272,0.223,0.596,0.8,0.536,0.62,0.291428571,0
03/01/2023 3:00,0.478,0.296,0.181,0.49,0.72,0.678,0.232,0.024285714,0
03/01/2023 3:30,0.44,0.048,0.177,0.468,0.456,0.68,0.226,0,0
03/01/2023 4:00,0,0,0.11,0.086,0.488,0.326,0.424,0,0
03/01/2023 4:30,0,0.036,0.108,0.07,0.304,0.3,0.426,0,0
03/01/2023 5:00,0,0.296,0,0,0.488,0.48,0.492,0,0
03/01/2023 5:30,0,0.216,0,0,0.404,0.484,0.492,0,0
03/01/2023 6:00,0.04,0.008,0,0,0.136,0.622,0.444,0,0
03/01/2023 6:30,0.036,0,0,0,0,0.624,0.444,0,0
03/01/2023 7:00,0,0,0.168,0,0,0.664,0.38,0,0
03/01/2023 7:30,0,0,0.179,0,0,0.594,0.374,0,0
03/01/2023 8:00,0.354,0,0.048,0.148,0,0,0.008,0,0
03/01/2023 8:30,0.4,0,0.047,0.176,0,0,0.018,0,0
03/01/2023 9:00,0.58,0,0.192,0.352,0,0.37,0.648,0,0
03/01/2023 9:30,0.592,0,0.199,0.372,0,0.396,0.664,0.027142857,0
03/01/2023 10:00,0.726,0,0.26,0.624,0,0.674,0.574,0.295714286,0
03/01/2023 10:30,0.732,0,0.262,0.636,0,0.688,0.574,0.324285714,0
03/01/2023 11:00,0.69,0,0.383,0.538,0,0.878,0.944,0.371428571,0
03/01/2023 11:30,0.688,0,0.388,0.542,0,0.884,0.95,0.381428571,0
03/01/2023 12:00,0.704,0,0.45,0.764,0,1,0.994,0.435714286,0
03/01/2023 12:30,0.716,0,0.452,0.774,0,1,0.992,0.442857143,0
03/01/2023 13:00,0.962,0,0.432,0.762,0,0.924,0.79,0.462857143,0
03/01/2023 13:30,0.962,0,0.433,0.758,0,0.906,0.788,0.452857143,0
03/01/2023 14:00,0.728,0,0.501,0.64,0,0.658,0.782,0.33,0
03/01/2023 14:30,0.718,0,0.503,0.634,0,0.658,0.782,0.31,0
03/01/2023 15:00,0.988,0,0.32,0.416,0,0.942,0.67,0.024285714,0
03/01/2023 15:30,1,0,0.312,0.406,0,0.948,0.67,0.002857143,0
03/01/2023 16:00,0.96,0,0.477,0.804,0,0.888,0.882,0.2,0
03/01/2023 16:30,0.956,0,0.48,0.82,0,0.888,0.884,0.242857143,0
03/01/2023 17:00,0.926,0,0.407,0.774,0,0.942,0.862,0.478571429,0
03/01/2023 17:30,0.916,0,0.399,0.754,0,0.942,0.86,0.514285714,0
03/01/2023 18:00,0.738,0,0.251,0.364,0,0.97,0.77,0.58,0
03/01/2023 18:30,0.74,0,0.255,0.368,0,0.968,0.772,0.604285714,0
03/01/2023 19:00,0.988,0.024,0.494,0.964,0.012,1,1,0.765714286,0
03/01/2023 19:30,0.998,0,0.502,0.992,0.284,1,1,0.782857143,0
03/01/2023 20:00,0.998,0.104,0.456,0.992,0.588,0.808,0.92,0.782857143,0
03/01/2023 20:30,0.998,0.044,0.447,0.972,0.684,0.8,0.906,0.755714286,0
03/01/2023 21:00,1,0.236,0.244,0.488,0.756,0.438,0.33,0.49,0
03/01/2023 21:30,0.984,0.052,0.231,0.43,0.56,0.432,0.302,0.435714286,0
03/01/2023 22:00,0.696,0.144,0.06,0,0.732,0.314,0,0.174285714,0
03/01/2023 22:30,0.68,0.012,0.052,0,0.724,0.312,0,0.134285714,0
03/01/2023 23:00,0.446,0.152,0,0,0.784,0,0,0,0
03/01/2023 23:30,0.432,0.452,0,0,0.696,0,0,0,0
04/01/2023 0:00,0.334,0.752,0,0,0.796,0,0,0,0
04/01/2023 0:30,0.324,0.944,0,0,0.8,0,0,0,0
04/01/2023 1:00,0.23,0.724,0,0,0.736,0,0,0,0
04/01/2023 1:30,0.232,0.832,0,0,0.452,0,0,0,0
04/01/2023 2:00,0.332,0.8,0,0,0.156,0,0,0,0
04/01/2023 2:30,0.332,0.828,0,0,0,0,0,0,0
04/01/2023 3:00,0.236,1,0,0,0,0,0,0,0
04/01/2023 3:30,0.206,0.984,0,0,0,0,0,0,0
04/01/2023 4:00,0,0.74,0,0,0.016,0,0,0,0
