,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Severn Power Ltd,Natural Gas,CCGT,850,Z10,,1,1,1
Seabank Power Ltd,Natural Gas,CCGT,1234,Z12,,1,1,1
Saltend Power Station,Natural Gas,CCGT,1200,Z7,,1,1,1
Indian Queens Power Ltd,Oil,OCGT,140,Z12,,1,1,1
EP SHB LTD,Natural Gas,CCGT,1365,Z7,,1,1,1
EP Langage Ltd,Natural Gas,CCGT,905,Z12,,1,1,1
Corby Power Station,Natural Gas,CCGT,407,Z10,,1,1,1
Carrington Power,Natural Gas,CCGT,910,Z7,,1,1,1
Rocksavage Power Company Ltd,Natural Gas,CCGT,810,Z7,,1,1,1
Coryton Energy Company Ltd,Natural Gas,CCGT,800,Z10,,1,1,1
Spalding Energy Company Ltd,Natural Gas,CCGT,950,Z9,,1,1,1
Spalding Expansion OCGT,Natural Gas,CCGT,300,Z9,,1,1,1
Marchwood Power,Natural Gas,CCGT,898,Z12,,1,1,1
Fellside CHP,Natural Gas,CCGT,105,Z6,,1,1,1
Peterborough Power Station,Natural Gas,OCGT,245,Z10,,1,1,1
Croydon,Natural Gas,OCGT,50,Z10,,1,1,1
Derby,Natural Gas,OCGT,50,Z9,,1,1,1
Exeter,Natural Gas,OCGT,50,Z12,,1,1,1
Heartlands,Natural Gas,OCGT,100,Z9,,1,1,1
Peterborough Power Station PPL2 Gas Engines,Natural Gas,OCGT,49,Z10,,1,1,1
Thornhill,Natural Gas,OCGT,40,Z7,,1,1,1
Viking,Natural Gas,OCGT,50,Z6,,1,1,1
Little Barford,Natural Gas,CCGT,723,Z10,,1,1,1
Kings Lynn,Natural Gas,CCGT,395,Z10,,1,1,1
Didcot B,Natural Gas,CCGT,1450,Z10,,1,1,1
Cheshire,Natural Gas,OCGT,60,Z7,,1,1,1
Great Yarmouth,Natural Gas,CCGT,420,Z11,,1,1,1
Hythe,Natural Gas,OCGT,44,Z12,,1,1,1
Staythorpe,Natural Gas,CCGT,1828,Z9,,1,1,1
Pembroke,Natural Gas,CCGT,2199,Z10,,1,1,1
Grimsby,Natural Gas,OCGT,20,Z7,,1,1,1
Didcot GT,Oil,OCGT,100,Z10,,1,1,1
Cowes,Oil,OCGT,140,Z12,,1,1,1
Little Barford GT,Oil,OCGT,17,Z10,,1,1,1
Wilton International,Natural Gas,Conventional steam,120,Z6,0,0,0,1
Peterhead,Natural Gas,CCGT,1180,Z2,,1,1,1
Keadby,Natural Gas,CCGT,735,Z7,,1,1,1
Medway,Natural Gas,CCGT,755,Z10,,1,1,1
Burghfield,Natural Gas,OCGT,50,Z12,,1,1,1
Chickerell,Natural Gas,OCGT,50,Z12,,1,1,1
Keadby 2,Natural Gas,CCGT,840,Z7,,1,1,1
Bowmore,Oil,OCGT,6,Z3,,1,1,1
Kirkwall,Oil,OCGT,16,Z1,,1,1,1
Stornoway,Oil,OCGT,23,Z2,,1,1,1
Lerwick,Oil,OCGT,67,Z1,,1,1,1
Tiree,Oil,OCGT,2.5,Z3,,1,1,1
Loch Carnan,Oil,OCGT,11,Z2,,1,1,1
Barra,Oil,OCGT,2.5,Z2,,1,1,1
Arnish,Oil,OCGT,10,Z2,,1,1,1
West Burton CCGT,Natural Gas,CCGT,1332,Z9,,1,1,1
Ratcliffe (Steam),Coal,Conventional steam,2021,Z9,,1,1,1
Killingholme,Natural Gas,OCGT,600,Z7,,1,1,1
Connahs Quay,Natural Gas,CCGT,1380,Z7,,1,1,1
Cottam Development Centre,Natural Gas,CCGT,445,Z9,,1,1,1
Enfield,Natural Gas,CCGT,408,Z10,,1,1,1
Grain,Natural Gas,CCGT,1365,Z12,,1,1,1
Ratcliffe (OCGT),Oil,OCGT,34,Z9,,1,1,1
Taylors Lane,Oil,OCGT,144,Z10,,1,1,1
Grain (OCGT),Oil,OCGT,50,Z12,,1,1,1
Rye House,Natural Gas,CCGT,715,Z10,,1,1,1
Damhead Creek,Natural Gas,CCGT,805,Z10,,1,1,1
Shoreham,Natural Gas,CCGT,420,Z12,,1,1,1
Blackburn,Natural Gas,CCGT,60,Z6,,1,1,1
VPI,Natural Gas,CCGT,1268,Z7,,1,1,1
Hartlepool,Nuclear,AGR,1185,Z6,5,0.015,0.015,0.73
Heysham 1,Nuclear,AGR,1060,Z6,5,0.015,0.015,0.73
Heysham 2,Nuclear,AGR,1240,Z6,5,0.015,0.015,0.73
Hinkley Point B,Nuclear,AGR,965,Z12,5,0.015,0.015,0.73
Torness,Nuclear,AGR,1200,Z5,5,0.015,0.015,0.73
Sizewell B,Nuclear,PWR,1198,Z11,5,0.015,0.015,0.73
A C Shropshire (Farm AD),Anaerobic Digestion,Anaerobic Digestion,2.5,Z9,44,1,1,1
Abbots moor Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1,Z7,44,1,1,1
Allerton Waste Recovery Park (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.100000024,Z7,44,1,1,1
Arkleby Mill,Anaerobic Digestion,Anaerobic Digestion,1,Z6,44,1,1,1
Arla Dairy Site,Anaerobic Digestion,Anaerobic Digestion,5,Z10,44,1,1,1
Aspatria Creamery,Anaerobic Digestion,Anaerobic Digestion,5,Z6,44,1,1,1
Attleborough Ad Plant Limited - Anaerobic Digestion Facility Expansion,Anaerobic Digestion,Anaerobic Digestion,1,Z11,44,1,1,1
Austrey House Farm,Anaerobic Digestion,Anaerobic Digestion,1.5,Z9,44,1,1,1
Barkip Anaerobic Digestor (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2.200000048,Z5,44,1,1,1
Basingstoke Sewage Treatment Works,Anaerobic Digestion,Anaerobic Digestion,1.200000048,Z12,44,1,1,1
Bearley Lane,Anaerobic Digestion,Anaerobic Digestion,1.299999952,Z12,44,1,1,1
Bentwaters Park,Anaerobic Digestion,Anaerobic Digestion,2,Z11,44,1,1,1
Bentwaters Park (extension),Anaerobic Digestion,Anaerobic Digestion,1.799999952,Z11,44,1,1,1
Binn Farm AD (extension),Anaerobic Digestion,Anaerobic Digestion,1.5,Z3,44,1,1,1
Bolton Road Waste Treatment and Renewable Energy Facility (Waste AD),Anaerobic Digestion,Anaerobic Digestion,4,Z7,44,1,1,1
Bonby Lane,Anaerobic Digestion,Anaerobic Digestion,1.5,Z7,44,1,1,1
Bourne Park AD (AD),Anaerobic Digestion,Anaerobic Digestion,1.100000024,Z12,44,1,1,1
Bredbury Park Way - AD Stockport (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2,Z7,44,1,1,1
Bristol STW (Waste AD),Anaerobic Digestion,Anaerobic Digestion,10,Z10,44,1,1,1
British Sugar - Bury,Anaerobic Digestion,Anaerobic Digestion,5,Z11,44,1,1,1
Broadley Copse,Anaerobic Digestion,Anaerobic Digestion,2.200000048,Z12,44,1,1,1
Brocklesby - Crosslands Lane,Anaerobic Digestion,Anaerobic Digestion,3.5,Z7,44,1,1,1
Bromham House Farm,Anaerobic Digestion,Anaerobic Digestion,1.5,Z10,44,1,1,1
Brookfield Farm AD Plant (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.299999952,Z9,44,1,1,1
Brookhurst Wood (Waste AD),Anaerobic Digestion,Anaerobic Digestion,4.5,Z12,44,1,1,1
Broughall Fields Farm,Anaerobic Digestion,Anaerobic Digestion,2.400000095,Z7,44,1,1,1
Bryn Pica AD / Tomorrow's Valley (Waste AD) - resubmission,Anaerobic Digestion,Anaerobic Digestion,1,Z10,44,1,1,1
Buttermilk Farm,Anaerobic Digestion,Anaerobic Digestion,1.100000024,Z10,44,1,1,1
BV Dairy  (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Z12,44,1,1,1
Bygrave Lodge Farm Anaerobic Digestion Facility (Farm AD),Anaerobic Digestion,Anaerobic Digestion,2.299999952,Z10,44,1,1,1
Cannington Cold Stores,Anaerobic Digestion,Anaerobic Digestion,3.299999952,Z12,44,1,1,1
Cardiff Organic Waste Treatment Project,Anaerobic Digestion,Anaerobic Digestion,2,Z10,44,1,1,1
Carousel Dairy AD Plant (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Z12,44,1,1,1
Carr Farm (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1,Z6,44,1,1,1
Carrington Farm AD,Anaerobic Digestion,Anaerobic Digestion,3,Z9,44,1,1,1
Cassington AD (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2.099999905,Z10,44,1,1,1
