,bus0,bus1,carrier,s_nom,r,x,b
0,Z1,Z2,AC,20000,0.01,0.01,0
1,Z2,Z3,AC,20000,0.01,0.01,0
2,Z3,Z4,AC,20000,0.01,0.01,0
3,Z4,Z5,AC,20000,0.01,0.01,0
4,Z5,Z6,AC,20000,0.01,0.01,0
5,Z6,Z7,AC,20000,0.01,0.01,0
6,Z7,Z8,AC,20000,0.01,0.01,0
7,Z7,Z9,AC,20000,0.01,0.01,0
8,Z9,Z10,AC,20000,0.01,0.01,0
9,Z10,Z11,AC,20000,0.01,0.01,0
10,Z10,Z12,AC,20000,0.01,0.01,0
11,Z5,Z7,DC,20000,0.01,0.01,0
12,Netherlands,Z10,DC,1000,0.01,0.01,0
13,Ireland,Z7,DC,500,0.01,0.01,0
14,N. Ireland,Z5,DC,500,0.01,0.01,0
15,Belgium,Z12,DC,1000,0.01,0.01,0
16,France1,Z12,DC,2000,0.01,0.01,0
17,France2,Z12,DC,1000,0.01,0.01,0
18,Norway,Z6,DC,1400,0.01,0.01,0
19,Denmark,Z9,DC,1400,0.01,0.01,0
20,France,Z12,DC,1000,0.01,0.01,0
