name,Z1,Z11,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z12,Z2,France,Ireland,France1,France2,N. Ireland,Netherlands,Belgium,Norway,Denmark,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,,
01/01/2023 0:00,44.32555098,758.6683891,259.3320274,575.565996,1027.972227,2315.848698,5603.797143,142.4756176,4690.331814,11104.74398,4025.051838,402.6359273,0,500,0,0,452,898,0,0,0,453690.4856,4121146.502,2654371.369,5891157.817,10521724.12,23703676.49,57357198.96,1458297.319,48007500.67,113661682.2,7765287.113,41198082.87,316793815.9,
01/01/2023 0:30,45.32928433,775.8481138,265.2044914,588.5994444,1051.250223,2368.290112,5730.692758,145.7019178,4796.542394,11356.20621,4116.197433,411.7534475,0,500,0,0,452,898,0,0,0,0.1%,1.3%,0.8%,1.9%,3.3%,7.5%,18.1%,0.5%,15.2%,35.9%,2.5%,13.0%,,
01/01/2023 1:00,44.84200182,767.5078713,262.3535857,582.272095,1039.949452,2342.831376,5669.088732,144.1356456,4744.980336,11234.12882,4071.948973,407.3271642,0,500,0,0,452,910,0,228,0,,,,,,,,,,,,,,
01/01/2023 1:30,43.69414266,747.8613144,255.6378962,567.3671771,1013.328975,2282.859912,5523.972209,140.4460819,4623.519006,10946.55919,3967.715805,396.9004616,0,500,0,0,410,912,0,312,0,,,,,,,,,,,,,,
01/01/2023 2:00,42.2769055,723.6041304,247.3461777,548.9643934,980.4612398,2208.814428,5344.799938,135.8906565,4473.553298,10591.50312,3839.021339,384.0268348,0,500,0,0,402,912,0,696,0,,,,,,,,,,,,,Z1,0.1%
01/01/2023 2:30,41.39670854,708.5388334,242.1964784,537.5350617,960.0482278,2162.827342,5233.522245,133.0614395,4380.41479,10370.99009,3759.093663,376.0314709,0,500,0,0,402,910,0,762,0,,,,,,,,,,,,,Z8,0.5%
01/01/2023 3:00,40.4770486,692.7980942,236.815896,525.5933038,938.7200125,2114.778457,5117.255493,130.1053765,4283.100482,10140.59051,3675.582484,367.6776404,0,500,0,0,402,684,0,1018,0,,,,,,,,,,,,,Z3,0.8%
01/01/2023 3:30,39.41669439,674.6492569,230.6121648,511.8246352,914.1288986,2059.378809,4983.201663,126.69708,4170.898536,9874.943232,3579.295342,358.0457985,0,500,0,0,402,680,0,1044,0,,,,,,,,,,,,,Z2,1.3%
01/01/2023 4:00,38.27569837,655.120168,223.9366288,497.0088348,887.6675867,1999.76592,4838.952801,123.0295765,4050.163433,9589.093005,3475.685391,347.6814379,0,500,0,0,402,820,0,1044,0,,,,,,,,,,,,,Z4,1.9%
01/01/2023 4:30,37.71120559,645.4584084,220.6339952,489.6789125,874.5762008,1970.273227,4767.587574,121.2151274,3990.431329,9447.672367,3424.425731,342.5538069,0,500,0,0,402,820,0,1044,0,,,,,,,,,,,,,Z11,2.5%
01/01/2023 5:00,37.66144787,644.6067639,220.3428815,489.0328099,873.4222489,1967.673566,4761.297022,121.0551911,3985.166189,9435.206719,3419.907402,342.1018272,0,500,0,0,402,906,310,1044,0,,,,,,,,,,,,,Z5,3.3%
01/01/2023 5:30,37.60654279,643.6670183,220.0216527,488.3198691,872.1489226,1964.804977,4754.355724,120.8787098,3979.35638,9421.451519,3414.921661,341.6030911,0,500,0,0,402,908,324,1044,0,,,,,,,,,,,,,Z6,7.5%
01/01/2023 6:00,38.25682474,654.7971306,223.8262063,496.7637614,887.2298808,1998.779841,4836.566729,122.9689111,4048.166311,9584.364655,3473.971543,347.5099973,0,500,0,0,408,878,274,1044,0,,,,,,,,,,,,,Z12,13.0%
01/01/2023 6:30,38.55365529,659.8776303,225.5628496,500.6180975,894.113801,2014.288157,4874.093125,123.9230135,4079.575593,9658.728699,3500.925709,350.2062896,0,500,0,0,452,878,274,1044,0,,,,,,,,,,,,,Z9,15.2%
01/01/2023 7:00,38.6051288,660.7586418,225.8640015,501.2864795,895.3075445,2016.977461,4880.600593,124.0884647,4085.02229,9671.624199,3505.599843,350.6738548,0,500,0,0,452,836,416,1044,0,,,,,,,,,,,,,Z7,18.1%
01/01/2023 7:30,38.78528606,663.8421821,226.9180336,503.6258163,899.4856463,2026.390022,4903.376728,124.6675442,4104.085728,9716.758445,3521.959309,352.3103328,0,500,0,0,452,836,418,1006,0,,,,,,,,,,,,,Z10,35.9%
01/01/2023 8:00,40.21281794,688.2755684,235.2699824,522.1622763,932.5921297,2100.973366,5083.850494,129.2560598,4255.140773,10074.39361,3651.588602,365.2774727,0,500,0,0,452,454,416,618,0,,,,,,,,,,,,,,
01/01/2023 8:30,41.04154137,702.4598538,240.1185296,532.9232262,951.8113984,2144.27115,5188.62072,131.9198255,4342.832585,10282.01115,3726.842144,372.8052714,0,500,0,0,452,396,406,540,0,,,,,,,,,,,,,,
01/01/2023 9:00,42.97522938,735.5565201,251.4318065,558.0321089,996.6563585,2245.299309,5433.08458,138.1352789,4547.446812,10766.45206,3902.433745,390.3701352,0,500,0,0,444,0,0,160,0,,,,,,,,,,,,,,
01/01/2023 9:30,43.70786893,748.0962508,255.7182033,567.5454123,1013.647306,2283.57706,5525.707533,140.4902022,4624.971459,10949.99799,3968.962241,397.0251457,0,382,0,0,362,0,0,112,0,,,,,,,,,,,,,,
01/01/2023 10:00,45.91951387,785.9503792,268.6577011,596.2635577,1064.93848,2399.127456,5805.311719,147.5990926,4858.997845,11504.0746,4169.794159,417.1148612,0,218,0,0,424,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 10:30,47.44999275,812.1457885,277.611954,616.1367817,1100.43245,2479.089408,5998.800417,152.5185108,5020.946285,11887.50077,4308.771718,431.0171312,0,226,0,0,336,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 11:00,49.09714491,840.3381572,287.248818,637.5250049,1138.632239,2565.147112,6207.039376,157.8129519,5195.24057,12300.15674,4458.343978,445.9792157,0,332,0,0,432,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 11:30,50.44231917,863.3619249,295.1189237,654.9920537,1169.828733,2635.427572,6377.101192,162.1367455,5337.580902,12637.1591,4580.494658,458.1982514,0,234,0,0,418,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 12:00,52.01397687,890.2621434,304.3140981,675.3999832,1206.277698,2717.540964,6575.795865,167.1885248,5503.886698,13030.90167,4723.211522,472.4745736,0,304,0,0,392,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 12:30,52.75004798,902.8606082,308.6205717,684.9578454,1223.348229,2755.998002,6668.85265,169.5544781,5581.774456,13215.3073,4790.051626,479.1607552,0,224,0,0,424,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 13:00,52.83926873,904.3876949,309.1425686,686.1163743,1225.417384,2760.65946,6680.13226,169.8412604,5591.215397,13237.6595,4798.153456,479.9712014,0,272,0,0,398,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 13:30,52.47895419,898.2206142,307.0345044,681.4377004,1217.06118,2741.834338,6634.579988,168.6831014,5553.088522,13147.39101,4765.434524,476.6982455,0,294,0,0,428,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 14:00,52.40002815,896.8697298,306.572738,680.4128481,1215.230773,2737.71074,6624.601871,168.4294094,5544.736921,13127.61791,4758.267519,475.9813123,0,340,0,0,388,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 14:30,52.58876434,900.1001054,307.676962,682.863582,1219.607833,2747.571518,6648.462585,169.0360642,5564.708142,13174.9014,4775.406009,477.6957177,0,376,0,0,350,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 15:00,53.17899386,910.2023709,311.1301716,690.5276953,1233.29609,2778.408862,6723.081546,170.9332389,5627.163593,13322.7698,4829.002735,483.0571313,0,500,0,0,414,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 15:30,54.06262236,925.326402,316.2999477,702.0015857,1253.788685,2824.575235,6834.79307,173.7734859,5720.665215,13544.14253,4909.24202,491.0836662,0,500,0,0,354,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 16:00,56.18333077,961.6240768,328.7074103,729.538923,1302.970913,2935.374531,7102.90073,180.590079,5945.069105,14075.43707,5101.816305,510.34735,0,398,0,0,308,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 16:30,57.75842002,988.5830294,337.9226615,749.9914113,1339.499461,3017.667211,7302.029233,185.6528883,6111.738015,14470.03935,5244.844779,524.6548432,0,394,0,0,310,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 17:00,58.29374448,997.7455492,341.0546424,756.9425838,1351.914392,3045.635966,7369.706895,187.3735816,6168.383657,14604.15254,5293.455762,529.5175208,0,446,0,0,336,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 17:30,58.42414403,999.9774451,341.8175607,758.6358182,1354.938543,3052.448867,7386.19248,187.792725,6182.181955,14636.82114,5305.2969,530.702019,0,442,0,0,330,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 18:00,57.08583289,977.0711456,333.9876087,741.257887,1323.901215,2982.526982,7216.998326,183.4909915,6040.567849,14301.53816,5183.769439,518.5453255,0,294,0,0,364,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 18:30,55.88306866,956.4848429,326.9506902,725.6400282,1296.00741,2919.686929,7064.940503,179.6249464,5913.29671,14000.21334,5074.550528,507.6198866,0,268,0,0,370,0,0,0,0,,,,,,,,,,,,,,
01/01/2023 19:00,54.65456767,935.4580345,319.7631958,709.6879784,1267.516734,2855.502223,6909.628947,175.6761757,5783.302223,13692.44076,4962.994551,496.4606653,0,290,0,0,246,0,0,0,0,,,,,,,,,,,,,,
